task_chk_n,avaliação de recurso,avaliação de risco,controle,detecção de anomalias,geração de dados,modelagem de curva,otimização,outro,previsão,revisão,simulação física
avaliação de recurso,11,1,0,0,0,0,0,0,9,0,1
avaliação de risco,0,3,0,0,1,0,1,1,2,0,0
controle,0,0,13,1,0,0,2,0,7,0,0
detecção de anomalias,0,0,0,6,0,0,0,0,2,0,0
geração de dados,0,0,0,0,5,0,0,0,0,0,0
modelagem de curva,0,0,1,1,0,4,0,0,2,0,0
otimização,1,0,0,0,0,0,44,0,10,0,0
outro,0,0,0,2,0,0,1,1,12,0,1
previsão,2,0,0,1,2,2,4,0,759,0,6
previsão e detecção de anomalia,0,0,0,0,0,0,0,0,1,0,0
revisão,0,0,0,0,0,0,2,0,12,4,0
simulação física,0,0,0,0,0,0,0,1,5,0,10
